,Unnamed: 0,Unnamed: 0.1,date,location,text
13968,14020,1532,03 07 2020 06 53,mumbai india,antigen test usp provide diagnosis 15 30 minutes patients brought
13988,14040,1552,03 07 2020 06 44,mumbai india,rt bloody hell us going another child brutally raped murdered know world
14041,14093,1605,03 07 2020 06 21,mumbai india,rt farmers sold 13 66 154 quintal fruits vegetables directly consumers march 27 june 30 coronavirus c
14051,14103,1615,03 07 2020 06 18,mumbai india,rt thanks outburst problems faced hcw indira gandhi hospital yesterday wrote
14053,14105,1617,03 07 2020 06 18,mumbai india,rt nanavati super speciality hospital first booked matter says scrutinise bill coronavirus
14086,14138,1650,03 07 2020 06 10,mumbai india,nanavati super speciality hospital first booked matter says scrutinise bill
14136,14188,1700,03 07 2020 05 45,mumbai india save tree,rt indiafightscorona indianarmy takes initiative organise blood donation camp shalateng kashmir order br
14143,14195,1707,03 07 2020 05 41,mumbai india,rt india inc fight war covid watch manish enam holdings live
14192,14244,1756,03 07 2020 05 15,mumbai india,rt gujarat needs test covid test positivity top 3 cities still 14 15 surat worst 3 2
14216,14268,1780,03 07 2020 05 03,mumbai india,mumbaikar wish pouring rain heavy 1 water reserves depleted n estimated wou
14223,14275,1787,03 07 2020 05 01,mumbai india,icmr selects 12 institutes clinical trial indigenous covid vaccine
14242,14294,1806,03 07 2020 04 49,mumbai india,rt india covid bulletin recovery rate 59 52 covid19 testing done prescription registered practition
14262,14314,1826,03 07 2020 04 37,mumbai india,rt ethealthworld delhi banks plasma beat covid 19 plasmadonors arvindkejriwal covid 19 novelcoronavirus delhip
14282,14334,1846,03 07 2020 04 29,mumbai india,rt bharat biotech covid vaccine likely launched aug 15 dg writes co amp principal invest
14298,14350,1862,03 07 2020 04 21,mumbai india,rt bharat biotech covid vaccine likely launched aug 15 dg writes co amp principal invest
14313,14365,1877,03 07 2020 04 14,mumbai india,rt blaming politicians covid failure funny u want 80 quotas want faculty quota punish plagiaris
14329,14381,1893,03 07 2020 04 10,mumbai india,rt india 20900 new cases yesterday us 50000 exploding meanwhile stupidity competition
14332,14384,1896,03 07 2020 04 09,mumbai india,india 20900 new cases yesterday us 50000 exploding meanwhile stupidity competit
14336,14388,1900,03 07 2020 04 08,mumbai india,behavioural biases observed covid 19 pandemic end february 2020 overconfidence bias af
14344,14396,1908,03 07 2020 04 06,mumbai india,dr reddy partners fujifilm covid 19 drug via social
14365,14417,1929,03 07 2020 03 58,mumbai india,rt bharat biotech covid vaccine likely launched aug 15 dg writes co amp principal invest
14382,14434,1946,03 07 2020 03 52,mumbai india,covid 19 vaccine ahmedabad based zydus cadila gets dcgi nod human clinical trials zydus vaccine covid
14387,14439,1951,03 07 2020 03 50,mumbai india,rt replug monuments reopened complete precautions july 6 covid covid19 coronaviruslockdown corona
14388,14440,1952,03 07 2020 03 50,mumbai india,respect doctor maharashtra far ahead covid cases present
14392,14444,1956,03 07 2020 03 48,mumbai india,rt ethealthworld raj first validate icmr recommended kits beginning antigen tests biosecurity rapidtesting
14409,14461,1973,03 07 2020 03 44,mumbai india,rt farmers sold 13 66 154 quintal fruits vegetables directly consumers march 27 june 30 coronavirus c
14414,14466,1978,03 07 2020 03 39,mumbai india,rt ethealthworld 2 3rd gurugram covid office goers daily workers gurgaon contacttracing covid 19 supers
